tissue,cell_ontology_class,cell_ontology_id,cell_ontology_term_iri,n_cells
Lung,mesothelial cell,CL:0000077,http://purl.obolibrary.org/obo/CL_0000077,2
Lung,monocyte,CL:0000576,http://purl.obolibrary.org/obo/CL_0000576,65
Lung,natural killer cell,CL:0000623,http://purl.obolibrary.org/obo/CL_0000623,36
Lung,stromal cell,CL:0000499,http://purl.obolibrary.org/obo/CL_0000499,366
Lung,type I pneumocyte,CL:0002062,http://purl.obolibrary.org/obo/CL_0002062,2
Lung,type II pneumocyte,CL:0002063,http://purl.obolibrary.org/obo/CL_0002063,94
Mammary,basal cell,CL:0000646,http://purl.obolibrary.org/obo/CL_0000646,1275
Mammary,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,49
Mammary,luminal epithelial cell of mammary gland,CL:0002326,http://purl.obolibrary.org/obo/CL_0002326,552
Mammary,stromal cell,CL:0000499,http://purl.obolibrary.org/obo/CL_0000499,428
Marrow,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,1848
Marrow,Fraction A pre-pro B cell,CL:0002045,http://purl.obolibrary.org/obo/CL_0002045,177
Marrow,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,142
Marrow,granulocyte,CL:0000094,http://purl.obolibrary.org/obo/CL_0000094,380
Marrow,hematopoietic stem cell,CL:0000037,http://purl.obolibrary.org/obo/CL_0000037,1291
Marrow,monocyte,CL:0000576,http://purl.obolibrary.org/obo/CL_0000576,324
Marrow,natural killer cell,CL:0000623,http://purl.obolibrary.org/obo/CL_0000623,136
Marrow,neutrophil,CL:0000775,http://purl.obolibrary.org/obo/CL_0000775,599
Muscle,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,71
Muscle,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,35
Muscle,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,129
Muscle,macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,40
Muscle,mesenchymal stem cell,CL:0000134,http://purl.obolibrary.org/obo/CL_0000134,246
Muscle,skeletal muscle satellite cell,CL:0000594,http://purl.obolibrary.org/obo/CL_0000594,546
Pancreas,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,49
Pancreas,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,45
Pancreas,pancreatic A cell,CL:0000171,http://purl.obolibrary.org/obo/CL_0000171,287
Pancreas,pancreatic D cell,CL:0000173,http://purl.obolibrary.org/obo/CL_0000173,91
Pancreas,pancreatic PP cell,CL:0002275,http://purl.obolibrary.org/obo/CL_0002275,107
Pancreas,pancreatic acinar cell,CL:0002064,http://purl.obolibrary.org/obo/CL_0002064,177
Pancreas,pancreatic ductal cell,CL:0002079,http://purl.obolibrary.org/obo/CL_0002079,131
Pancreas,pancreatic stellate cell,CL:0002410,http://purl.obolibrary.org/obo/CL_0002410,29
Pancreas,type B pancreatic cell,CL:0000169,http://purl.obolibrary.org/obo/CL_0000169,411
Skin,basal cell of epidermis,CL:0002187,http://purl.obolibrary.org/obo/CL_0002187,402
Skin,epidermal cell,CL:0000362,http://purl.obolibrary.org/obo/CL_0000362,445
Skin,keratinocyte stem cell,CL:0002337,http://purl.obolibrary.org/obo/CL_0002337,1371
Skin,stem cell of epidermis,CL:1000428,http://purl.obolibrary.org/obo/CL_1000428,45
Spleen,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,1238
Spleen,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,403
Spleen,myeloid cell,CL:0000763,http://purl.obolibrary.org/obo/CL_0000763,48
Thymus,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,1250
Thymus,mesenchymal stem cell,CL:0000134,http://purl.obolibrary.org/obo/CL_0000134,33
Tongue,basal cell of epidermis,CL:0002187,http://purl.obolibrary.org/obo/CL_0002187,1033
Tongue,keratinocyte,CL:0000312,http://purl.obolibrary.org/obo/CL_0000312,361
Trachea,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,33
Trachea,epithelial cell,CL:0000066,http://purl.obolibrary.org/obo/CL_0000066,128
Trachea,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,116
Trachea,stromal cell,CL:0000499,http://purl.obolibrary.org/obo/CL_0000499,569
