,annotation,plate.barcode,subannotation,tissue
A4.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
B7.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
A3.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C10.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
D14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
B6.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
C9.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
D13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
E17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
E18.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
A5.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
B8.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C11.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
E19.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C12.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
D16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
E20.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
A6.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
G6.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I12.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
J17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
K20.MAA000611.3_8_M.1.1,tuft_cell,,,Colon
M2.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
N5.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
A7.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B10.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
C13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
D17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
I13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M3.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
N6.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
O9.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
P13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G7.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H9.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G9.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
H11.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G8.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
I16.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
J20.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
H10.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
I14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J19.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
K22.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
M4.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
N7.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
O10.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L1.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
G10.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H12.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
I17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M5.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L2.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M6.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N9.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
N8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O11.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
P15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
O12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G11.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
H13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
I18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J22.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
L3.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
M7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N10.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
O13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
P17.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
M8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
H14.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I20.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K1.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L4.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
I21.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I22.MAA000611.3_8_M.1.1,goblet_cell,,4,Colon
K3.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L6.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L5.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
M9.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
O15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
P19.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
M10.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J1.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
K4.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M11.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
N15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
O17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
P21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
P20.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
J2.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
K5.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
O18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P22.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
F11.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
G16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O20.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
F13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
F12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G18.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H20.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H19.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
J3.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K6.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L9.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
M13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J4.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
F14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G19.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
J5.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
K8.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
L11.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
K7.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
M15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N19.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P1.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L10.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
M14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N18.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
O21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I1.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
J6.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K9.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L12.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N20.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
P2.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
F15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
G20.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
P3.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
F16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
F18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G22.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I3.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K11.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
L13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
M17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
N21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
F20.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H1.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I4.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J9.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
L15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
K12.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
M19.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O1.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P5.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
M18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N22.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P4.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I6.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K14.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
M20.MAA000611.3_8_M.1.1,chromaffin_cell,,,Colon
O2.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P6.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
F21.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
H2.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G2.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G1.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H4.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I8.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J13.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
H3.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I7.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
J11.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
K15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
L17.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M21.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
O3.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G3.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H5.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I9.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
J14.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
K17.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
L20.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L21.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
N2.MAA000611.3_8_M.1.1,chromaffin_cell,,,Colon
O5.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N1.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
O4.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
P8.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
P9.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H6.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
I10.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
J15.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
K18.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
L22.MAA000611.3_8_M.1.1,goblet_cell,,2,Colon
N3.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P10.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G4.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
K19.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
M1.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
N4.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
O7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
P11.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
G5.MAA000611.3_8_M.1.1,cycling_undifferentiated_cell,,,Colon
H7.MAA000611.3_8_M.1.1,amplifying_cell,,,Colon
I11.MAA000611.3_8_M.1.1,non-cycling_undifferentiated_cell,,,Colon
J16.MAA000611.3_8_M.1.1,enterocyte,,1,Colon
A14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
A15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
B19.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
B18.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E1.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F4.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G8.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
C20.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D22.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
F3.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G7.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H12.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
A16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
B20.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C22.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E2.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F5.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G9.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E3.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F6.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
G10.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H15.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
B21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D1.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A19.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C1.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D3.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
A18.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
B22.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D2.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E4.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
F7.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E5.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A20.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
C2.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D4.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
E6.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
F9.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F8.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
G13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
H19.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G12.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H18.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C3.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D5.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
E7.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F10.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
G14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
H20.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A21.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
H21.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B1.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
A22.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
C4.MAA000612.3_9_M.1.1,tuft_cell,,,Colon
D6.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
E8.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C5.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
B2.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C6.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D7.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D8.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
E10.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E9.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F12.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
H22.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G17.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A1.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
B3.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C7.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D9.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G18.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D10.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
E12.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
F15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G19.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A2.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B4.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C8.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A3.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
A4.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
B6.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C10.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B5.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D12.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
E14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F18.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
C9.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
D11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G20.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
G21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
B7.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
C11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F20.MAA000612.3_9_M.1.1,chromaffin_cell,,,Colon
H1.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
D14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H2.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A6.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B8.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
C12.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
A7.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
A8.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B10.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
C14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
B9.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
D16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E18.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G1.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
D15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
F22.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H3.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H4.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A9.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
B11.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
C15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
D17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
E20.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G2.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H5.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
G3.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
H6.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
A10.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
B12.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
C16.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D18.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A12.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
B15.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
A11.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
C18.MAA000612.3_9_M.1.1,tuft_cell,,,Colon
D20.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
B14.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
C17.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
D19.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
E22.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
G4.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
H9.MAA000612.3_9_M.1.1,cycling_undifferentiated_cell,,,Colon
F1.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
A13.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
B16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
C19.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
D21.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
F2.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
G6.MAA000612.3_9_M.1.1,non-cycling_undifferentiated_cell,,,Colon
H11.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
H10.MAA000612.3_9_M.1.1,goblet_cell,,2,Colon
I22.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
K16.MAA000612.3_9_M.1.1,enterocyte,,1,Colon
M6.MAA000612.3_9_M.1.1,amplifying_cell,,,Colon
