plate_name,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%,url
MAA000526,Lung,,3_9_M,3,M,9,Multiple,543070.0,88.505,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000526.zip
MAA000612,Colon,Proximal,3_9_M,3,M,9,Multiple,51811.0,74.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000612.zip
B003274,Brain,Striatum,3_38_F,3,F,38,Neurons,433682.5,83.685,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B003274.zip
MAA001892,Lung,Endomucin,3_38_F,3,F,38,Multiple,407601.5,80.195,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001892.zip
D041914,Bladder,,3_8_M,3,M,8,Multiple,27854.0,80.79499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041914.zip
B000412,Heart,RA,3_56_F,3,F,56,Viable,447821.5,85.435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000412.zip
B002314,Fat,MAT,3_56_F,3,F,56,Multiple,562578.0,86.59,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002314.zip
MAA000545,Kidney,,3_8_M,3,M,8,Viable,591216.5,87.02,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000545.zip
MAA000571,Brain,Cerebellum,3_9_M,3,M,9,Microglia,512473.0,85.63,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000571.zip
MAA001454,Muscle,Diaphragm,3_38_F,3,F,38,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",450447.0,85.33500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001454.zip
D045139,Marrow,Granulocytes,3_39_F,3,F,39,Multiple,416045.0,87.015,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045139.zip
B000168,Mammary_Gland,Mammary_Gland,3_57_F,3,F,57,Multiple,600027.0,84.455,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000168.zip
MAA000924,Brain,Cerebellum,3_8_M,3,M,8,Neurons,240805.0,44.3,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000924.zip
MAA000496,Trachea,,3_10_M,3,M,10,Multiple,576674.5,86.445,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000496.zip
B002780,Tongue,,3_38_F,3,F,38,Multiple,437945.5,85.07,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002780.zip
MAA000898,Heart,RV,3_11_M,3,M,11,Viable,169669.0,74.4,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000898.zip
MAA000844,Marrow,T-cells,3_10_M,3,M,10,Multiple,402908.5,83.53,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000844.zip
MAA001856,Brain,Cerebellum,3_39_F,3,F,39,Neurons,421949.5,86.65,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001856.zip
MAA001873,Colon,Distal,3_38_F,3,F,38,Multiple,826163.5,80.27,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001873.zip
MAA000563,Brain,Hippocampus,3_10_M,3,M,10,Neurons,76708.0,61.04,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000563.zip
MAA001875,Colon,Distal,3_39_F,3,F,39,Multiple,485259.0,83.27,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001875.zip
D045064,Fat,MAT,3_38_F,3,F,38,Multiple,663436.5,88.64,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045064.zip
MAA000801,Kidney,,3_11_M,3,M,11,Viable,402263.5,78.055,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000801.zip
MAA100042,Liver,Hepatocytes,3_9_M,3,M,9,,373574.0,83.97,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100042.zip
MAA001853,Brain,Cerebellum,3_38_F,3,F,38,Neurons,22951.5,64.63499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001853.zip
D041904,Tongue,,3_10_M,3,M,10,Multiple,604600.0,86.67500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041904.zip
MAA000891,Lung,,3_10_M,3,M,10,Multiple,371015.5,81.49000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000891.zip
B002436,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,413615.5,85.32,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002436.zip
MAA000593,Brain,Striatum,3_8_M,3,M,8,Microglia,26822.5,74.96000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000593.zip
D041911,Tongue,,3_8_M,3,M,8,Multiple,35507.0,83.21000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041911.zip
MAA000641,Brain,Cerebellum,3_9_M,3,M,9,Multiple,231055.5,40.095,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000641.zip
MAA000531,Fat,MAT,3_8_M,3,M,8,Multiple,27281.5,76.08,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000531.zip
MAA000776,Spleen,,3_10_M,3,M,10,Viable,92408.0,75.53999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000776.zip
MAA000871,Colon,Proximal,3_11_M,3,M,11,Multiple,57414.0,73.16499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000871.zip
B002010,Heart,RA,3_39_F,3,F,39,Viable,612043.5,86.68,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002010.zip
B002435,Mammary_Gland,Mammary_Gland,3_39_F,3,F,39,Multiple,313162.0,86.395,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002435.zip
D042044,Marrow,B-cells,3_9_M,3,M,9,Multiple,26721.5,80.265,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042044.zip
MAA000899,Heart,RA,3_10_M,3,M,10,Viable,375227.0,81.14,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000899.zip
MAA000596,Marrow,KLS,3_9_M,3,M,9,Multiple,451248.0,85.21,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000596.zip
MAA000930,Brain,Cortex,3_8_M,3,M,8,Neurons,387876.0,86.44,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000930.zip
B001960,Fat,BAT,3_56_F,3,F,56,Multiple,517719.5,84.945,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B001960.zip
MAA001871,Brain,Cerebellum,3_39_F,3,F,39,Microglia,520739.0,78.91,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001871.zip
MAA000435,Skin,Anagen,3_10_M,3,M,10,Multiple,646485.0,85.73,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000435.zip
D045140,Marrow,Granulocytes,3_38_F,3,F,38,Multiple,619834.5,87.60499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D045140.zip
MAA000093,Brain,Brainstem,24_1_M,24,M,1,Neurons,955893.0,86.64,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000093.zip
D042474,Trachea,,3_8_M,3,M,8,Multiple,8436.0,80.72,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042474.zip
MAA000920,Heart,LA,3_11_M,3,M,11,Viable,503603.0,83.82,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000920.zip
D042475,Trachea,,3_9_M,3,M,9,Multiple,3299.0,78.97,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D042475.zip
B002438,Mammary_Gland,Mammary_Gland,3_38_F,3,F,38,Multiple,439457.0,87.08,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002438.zip
D043520,Fat,MAT,3_39_F,3,F,39,Multiple,565736.5,86.86500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D043520.zip
B000610,Bladder,,3_56_F,3,F,56,Multiple,482084.0,85.88499999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000610.zip
B002430,Heart,Aorta,3_38_F,3,F,38,Viable,605859.0,84.9,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002430.zip
B002433,Mammary_Gland,Mammary_Gland,3_38_F,3,F,38,Multiple,434037.0,86.58,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002433.zip
MAA000599,Fat,BAT,3_8_M,3,M,8,Multiple,27848.5,74.28999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000599.zip
MAA000614,Skin,,3_10_M,3,M,10,Multiple,371723.5,84.6,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000614.zip
MAA000591,Brain,Hippocampus,3_8_M,3,M,8,Microglia,409312.5,66.42500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000591.zip
B002771,Bladder,,3_39_F,3,F,39,Multiple,474393.0,85.875,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002771.zip
MAA000388,Fat,GAT,3_11_M,3,M,11,Multiple,388247.0,84.61500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000388.zip
MAA000922,Kidney,,3_9_M,3,M,9,Viable,316637.0,80.62,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000922.zip
MAA001857,Pancreas,Endocrine,3_38_F,3,F,38,Viable,397683.5,86.24000000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001857.zip
MAA000581,Brain,Cerebellum,3_10_M,3,M,10,Neurons,126938.5,80.39,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000581.zip
B002011,Heart,RA,3_38_F,3,F,38,Viable,562820.5,78.91,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002011.zip
B002762,Muscle,Diaphragm,3_39_F,3,F,39,"CD31+, CD45+, CD31-CD45-Sca1+, CD31-CD45-Sca1-VCAM1+",167182.5,83.00999999999999,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B002762.zip
MAA000935,Brain,Hippocampus,3_8_M,3,M,8,Neurons,54207.5,76.435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000935.zip
MAA000652,Marrow,B-cells,3_10_M,3,M,10,Multiple,253556.0,83.245,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000652.zip
MAA001847,Lung,EPCAM,3_39_F,3,F,39,Multiple,436350.5,86.345,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA001847.zip
MAA000399,Heart,RV,3_9_M,3,M,9,Viable,340897.5,81.095,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000399.zip
MAA000605,Brain,Cerebellum,3_10_M,3,M,10,Microglia,254245.0,83.435,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000605.zip
D041894,Tongue,,3_9_M,3,M,9,Multiple,488665.0,87.18,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/D041894.zip
MAA100097,Heart,LA/RA,3_38_F/3_39_F,,,,cardiomyocytes,484462.0,77.62,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA100097.zip
MAA000848,Marrow,KLS,3_10_M,3,M,10,Multiple,487540.0,84.61500000000001,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/MAA000848.zip
B000167,Mammary_Gland,Mammary_Gland,3_56_F,3,F,56,Multiple,378911.0,80.25,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_zipped//data1/maca/gc_table_by_plates_zipped/B000167.zip
