,annotation,plate.barcode,subannotation,tissue,annotation_subannotation
G4.MAA000526.3_9_M.1.1,epithelial,MAA000526,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
H12.MAA000526.3_9_M.1.1,stromal,MAA000526,,Lung,stromal
J2.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
M8.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
N22.MAA000526.3_9_M.1.1,immune,MAA000526,,Lung,immune
P5.MAA000526.3_9_M.1.1,epithelial,MAA000526,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
A5.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
B10.MAA000526.3_9_M.1.1,stromal,MAA000526,,Lung,stromal
H13.MAA000526.3_9_M.1.1,stromal,MAA000526,,Lung,stromal
J3.MAA000526.3_9_M.1.1,ciliated,MAA000526,,Lung,ciliated
K19.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
M9.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
O1.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
P6.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
A6.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
B11.MAA000526.3_9_M.1.1,stromal,MAA000526,,Lung,stromal
D3.MAA000526.3_9_M.1.1,epithelial,MAA000526,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
E10.MAA000526.3_9_M.1.1,stromal,MAA000526,,Lung,stromal
G5.MAA000526.3_9_M.1.1,endothelial,MAA000526,,Lung,endothelial
A12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
B19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
A14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
A19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
A20.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
A21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
A22.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
B1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B3.MAA000530.3_8_M.1.1,macrophages,MAA000530,alveolar,Lung,macrophages: alveolar
B4.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
B6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
A1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
A2.MAA000530.3_8_M.1.1,macrophages,MAA000530,alveolar,Lung,macrophages: alveolar
B8.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A3.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
B9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A4.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
B11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
A8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
A10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
B17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
A11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
B18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D3.MAA000530.3_8_M.1.1,ciliated,MAA000530,,Lung,ciliated
E7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
F13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H1.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
E8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
F14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
H2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J21.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
L7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
P1.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
I9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
D5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
F17.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
H3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
K2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
P2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M16.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
F18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H4.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
K3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
M17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N22.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
P4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
B22.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
H5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
K4.MAA000530.3_8_M.1.1,ciliated,MAA000530,,Lung,ciliated
L11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
M18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
F19.MAA000530.3_8_M.1.1,macrophages,MAA000530,interstitial,Lung,macrophages: interstitial
K5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
M19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
O2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C2.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D8.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
E12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
F20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
H6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
K6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M21.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
O3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
F21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
H8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C4.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
M22.MAA000530.3_8_M.1.1,immune,MAA000530,,Lung,immune
O4.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
P8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
C6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
F22.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
H9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
K7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I20.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
K8.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L18.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N2.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
C7.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
C8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
K9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L19.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
D13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
C9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
D14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
E19.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
E18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G3.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
I22.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
K11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
N3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
G5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
H17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
N4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
K13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
C11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E21.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
G6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L22.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
M1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N5.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
O9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
G7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
J4.MAA000530.3_8_M.1.1,ciliated,MAA000530,,Lung,ciliated
K18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
P17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
E22.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
N8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
P18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D21.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
C13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
D20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
F1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
H20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
J5.MAA000530.3_8_M.1.1,club,MAA000530,,Lung,club
K19.MAA000530.3_8_M.1.1,macrophages,MAA000530,alveolar,Lung,macrophages: alveolar
J6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K20.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
M4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
F2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
P19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
G10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
H21.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
G11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
H22.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
J8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
C17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M5.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
D22.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
F4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
C19.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
F6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
I1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
M6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
K22.MAA000530.3_8_M.1.1,b_cells,MAA000530,,Lung,b_cells
N11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
P21.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
C20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
E2.MAA000530.3_8_M.1.1,macrophages,MAA000530,interstitial,Lung,macrophages: interstitial
F7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G14.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
P22.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
I2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L1.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
I4.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
J12.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L3.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
C21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
E3.MAA000530.3_8_M.1.1,epithelial,MAA000530,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
F8.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G18.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
N13.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
E4.MAA000530.3_8_M.1.1,remaining_epithelial,MAA000530,,Lung,remaining_epithelial
F9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G19.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
C22.MAA000530.3_8_M.1.1,monocytes,MAA000530,,Lung,monocytes
I5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
E5.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
F10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
L4.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M9.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
G20.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
D2.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
L5.MAA000530.3_8_M.1.1,club,MAA000530,,Lung,club
M10.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N17.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
O21.MAA000530.3_8_M.1.1,t_cells,MAA000530,,Lung,t_cells
E6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
G21.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
I7.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
J19.MAA000530.3_8_M.1.1,dendritic,MAA000530,,Lung,dendritic
L6.MAA000530.3_8_M.1.1,endothelial,MAA000530,,Lung,endothelial
M11.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
N18.MAA000530.3_8_M.1.1,stromal,MAA000530,,Lung,stromal
O22.MAA000530.3_8_M.1.1,natural_killer,MAA000530,,Lung,natural_killer
C4.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
C5.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
C7.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
A3.MAA000839.3_11_M.1.1,ciliated,MAA000839,,Lung,ciliated
C6.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
C10.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C11.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
A12.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C21.MAA000839.3_11_M.1.1,monocytes,MAA000839,,Lung,monocytes
A10.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C14.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
A13.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C22.MAA000839.3_11_M.1.1,monocytes,MAA000839,,Lung,monocytes
D1.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B2.MAA000839.3_11_M.1.1,mesothelial,MAA000839,,Lung,mesothelial
D3.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
B1.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
D2.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
D6.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
D10.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B4.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
B7.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
D12.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B6.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
D11.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B10.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
D13.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B11.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B13.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B12.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
B22.MAA000839.3_11_M.1.1,b_cells,MAA000839,,Lung,b_cells
C1.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C2.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
C3.MAA000839.3_11_M.1.1,epithelial,MAA000839,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
E10.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
H6.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
K4.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
M21.MAA000839.3_11_M.1.1,b_cells,MAA000839,,Lung,b_cells
P3.MAA000839.3_11_M.1.1,club,MAA000839,,Lung,club
E11.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
H11.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
K5.MAA000839.3_11_M.1.1,epithelial,MAA000839,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
N1.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
P4.MAA000839.3_11_M.1.1,epithelial,MAA000839,alveolar_type_ii,Lung,epithelial: alveolar_type_ii
E12.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
H21.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
K6.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
N2.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
P5.MAA000839.3_11_M.1.1,club,MAA000839,,Lung,club
K7.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
E17.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
I1.MAA000839.3_11_M.1.1,stromal,MAA000839,,Lung,stromal
N4.MAA000839.3_11_M.1.1,endothelial,MAA000839,,Lung,endothelial
