,plate.barcode,annotation,subannotation
A19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_5_DN1,NA
F5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
H9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
J13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
I10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
K14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
F6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
G8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
K16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
A20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
D2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
J15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
C2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
A21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D4.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
E6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
D3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
E5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
F7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
B1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
D5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
F9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
J16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
B2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C4.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
D6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
E8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
F10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
H14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
J18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
A1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
B3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
C5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
D7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
A3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
B5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
C7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
D8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_5_DN1,NA
G15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
H17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
F12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
G14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
H16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
J20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
B6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
E12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
F14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
H18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
J22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
A4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
K1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
B8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
D12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B7.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
C9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
G17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
E14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
C11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
H21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
J1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
K2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
D14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
C12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
K5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
B12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C14.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
B11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
D15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
A11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
D17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
F21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H1.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
I3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
K7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
K6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
H2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
K8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
B15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
E20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
C17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A14.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
D20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
E22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
D19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
G2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
E21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
I5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
J7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
K9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
J8.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
B17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
C19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
D21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
F1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
G3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I7.MAA000607.3_9_M.1.1,MAA000607,stromal_mesenchymal stem cell,NA
J9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
K11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
K10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
M16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
N18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
A15.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
O20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
M17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
N19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
O21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
P22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
N20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
O22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
M18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
M20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_3_DP_favoring CD8 differentation,NA
L17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
P2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
M19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
N21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
P1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
L19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
M21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
O1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
P3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
L20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
M22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
O2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
K20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
O3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,Immature_SP_CD8
L22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
