"","annotation"
"L9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M13.MAA000611.3_8_M.1.1","Enterocyte 1"
"N17.MAA000611.3_8_M.1.1","Enterocyte 1"
"J4.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"F14.MAA000611.3_8_M.1.1","Enterocyte 1"
"G19.MAA000611.3_8_M.1.1","Enterocyte 1"
"J5.MAA000611.3_8_M.1.1","Goblet Cell 2"
"K8.MAA000611.3_8_M.1.1","Goblet Cell 2"
"L11.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"K7.MAA000611.3_8_M.1.1","Goblet Cell 2"
"M15.MAA000611.3_8_M.1.1","Enterocyte 1"
"N19.MAA000611.3_8_M.1.1","Amplifying Cell"
"P1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L10.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"M14.MAA000611.3_8_M.1.1","Enterocyte 1"
"N18.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"O21.MAA000611.3_8_M.1.1","Amplifying Cell"
"I1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J6.MAA000611.3_8_M.1.1","Amplifying Cell"
"K9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L12.MAA000611.3_8_M.1.1","Amplifying Cell"
"M16.MAA000611.3_8_M.1.1","Enterocyte 1"
"N20.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P2.MAA000611.3_8_M.1.1","Amplifying Cell"
"F15.MAA000611.3_8_M.1.1","Enterocyte 1"
"G20.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P3.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"F16.MAA000611.3_8_M.1.1","Enterocyte 1"
"F18.MAA000611.3_8_M.1.1","Amplifying Cell"
"G22.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I3.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G21.MAA000611.3_8_M.1.1","Amplifying Cell"
"J7.MAA000611.3_8_M.1.1","Amplifying Cell"
"K11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L13.MAA000611.3_8_M.1.1","Enterocyte 1"
"M17.MAA000611.3_8_M.1.1","Enterocyte 1"
"N21.MAA000611.3_8_M.1.1","Amplifying Cell"
"J8.MAA000611.3_8_M.1.1","Amplifying Cell"
"F20.MAA000611.3_8_M.1.1","Enterocyte 1"
"H1.MAA000611.3_8_M.1.1","Amplifying Cell"
"I4.MAA000611.3_8_M.1.1","Amplifying Cell"
"J9.MAA000611.3_8_M.1.1","Amplifying Cell"
"K13.MAA000611.3_8_M.1.1","Enterocyte 1"
"L15.MAA000611.3_8_M.1.1","Enterocyte 1"
"K12.MAA000611.3_8_M.1.1","Goblet Cell 2"
"M19.MAA000611.3_8_M.1.1","Amplifying Cell"
"O1.MAA000611.3_8_M.1.1","Amplifying Cell"
"P5.MAA000611.3_8_M.1.1","Amplifying Cell"
"L14.MAA000611.3_8_M.1.1","Enterocyte 1"
"M18.MAA000611.3_8_M.1.1","Amplifying Cell"
"N22.MAA000611.3_8_M.1.1","Amplifying Cell"
"P4.MAA000611.3_8_M.1.1","Amplifying Cell"
"I6.MAA000611.3_8_M.1.1","Amplifying Cell"
"K14.MAA000611.3_8_M.1.1","Amplifying Cell"
"L16.MAA000611.3_8_M.1.1","Enterocyte 1"
"M20.MAA000611.3_8_M.1.1","Chromaffin Cell"
"O2.MAA000611.3_8_M.1.1","Amplifying Cell"
"P6.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"F21.MAA000611.3_8_M.1.1","Amplifying Cell"
"H2.MAA000611.3_8_M.1.1","Amplifying Cell"
"P7.MAA000611.3_8_M.1.1","Amplifying Cell"
"G2.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H4.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I8.MAA000611.3_8_M.1.1","Amplifying Cell"
"J13.MAA000611.3_8_M.1.1","Enterocyte 1"
"H3.MAA000611.3_8_M.1.1","Amplifying Cell"
"I7.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"J11.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"K15.MAA000611.3_8_M.1.1","Enterocyte 1"
"L17.MAA000611.3_8_M.1.1","Amplifying Cell"
"M21.MAA000611.3_8_M.1.1","Enterocyte 1"
"O3.MAA000611.3_8_M.1.1","Amplifying Cell"
"G3.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H5.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J14.MAA000611.3_8_M.1.1","Enterocyte 1"
"K17.MAA000611.3_8_M.1.1","Enterocyte 1"
"L20.MAA000611.3_8_M.1.1","Amplifying Cell"
"L21.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N2.MAA000611.3_8_M.1.1","Chromaffin Cell"
"O5.MAA000611.3_8_M.1.1","Amplifying Cell"
"N1.MAA000611.3_8_M.1.1","Amplifying Cell"
"O4.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P8.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I10.MAA000611.3_8_M.1.1","Amplifying Cell"
"J15.MAA000611.3_8_M.1.1","Enterocyte 1"
"K18.MAA000611.3_8_M.1.1","Amplifying Cell"
"L22.MAA000611.3_8_M.1.1","Goblet Cell 2"
"N3.MAA000611.3_8_M.1.1","Amplifying Cell"
"P10.MAA000611.3_8_M.1.1","Amplifying Cell"
"G4.MAA000611.3_8_M.1.1","Amplifying Cell"
"K19.MAA000611.3_8_M.1.1","Amplifying Cell"
"M1.MAA000611.3_8_M.1.1","Amplifying Cell"
"N4.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O7.MAA000611.3_8_M.1.1","Amplifying Cell"
"P11.MAA000611.3_8_M.1.1","Amplifying Cell"
"G5.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"H7.MAA000611.3_8_M.1.1","Amplifying Cell"
"I11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J16.MAA000611.3_8_M.1.1","Enterocyte 1"
"A14.MAA000612.3_9_M.1.1","Enterocyte 1"
"A15.MAA000612.3_9_M.1.1","Enterocyte 1"
"B19.MAA000612.3_9_M.1.1","Amplifying Cell"
"C21.MAA000612.3_9_M.1.1","Amplifying Cell"
"B18.MAA000612.3_9_M.1.1","Amplifying Cell"
"E1.MAA000612.3_9_M.1.1","Amplifying Cell"
"F4.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G8.MAA000612.3_9_M.1.1","Goblet Cell 2"
"C20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"F3.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G7.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H12.MAA000612.3_9_M.1.1","Amplifying Cell"
"H13.MAA000612.3_9_M.1.1","Enterocyte 1"
"A16.MAA000612.3_9_M.1.1","Enterocyte 1"
"B20.MAA000612.3_9_M.1.1","Amplifying Cell"
"C22.MAA000612.3_9_M.1.1","Enterocyte 1"
"E2.MAA000612.3_9_M.1.1","Amplifying Cell"
"F5.MAA000612.3_9_M.1.1","Enterocyte 1"
"G9.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H14.MAA000612.3_9_M.1.1","Enterocyte 1"
"E3.MAA000612.3_9_M.1.1","Amplifying Cell"
"F6.MAA000612.3_9_M.1.1","Amplifying Cell"
"G10.MAA000612.3_9_M.1.1","Amplifying Cell"
"H15.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A17.MAA000612.3_9_M.1.1","Enterocyte 1"
"B21.MAA000612.3_9_M.1.1","Amplifying Cell"
"D1.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C1.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D3.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"A18.MAA000612.3_9_M.1.1","Goblet Cell 2"
"B22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D2.MAA000612.3_9_M.1.1","Amplifying Cell"
"E4.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"F7.MAA000612.3_9_M.1.1","Enterocyte 1"
"G11.MAA000612.3_9_M.1.1","Amplifying Cell"
"H17.MAA000612.3_9_M.1.1","Enterocyte 1"
"E5.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A20.MAA000612.3_9_M.1.1","Goblet Cell 2"
"C2.MAA000612.3_9_M.1.1","Amplifying Cell"
"D4.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"E6.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"F9.MAA000612.3_9_M.1.1","Amplifying Cell"
"F8.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"G13.MAA000612.3_9_M.1.1","Enterocyte 1"
"H19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G12.MAA000612.3_9_M.1.1","Amplifying Cell"
"H18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C3.MAA000612.3_9_M.1.1","Amplifying Cell"
"D5.MAA000612.3_9_M.1.1","Goblet Cell 2"
"E7.MAA000612.3_9_M.1.1","Amplifying Cell"
"F10.MAA000612.3_9_M.1.1","Amplifying Cell"
"G14.MAA000612.3_9_M.1.1","Enterocyte 1"
"H20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G15.MAA000612.3_9_M.1.1","Enterocyte 1"
"H21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B1.MAA000612.3_9_M.1.1","Goblet Cell 2"
"A22.MAA000612.3_9_M.1.1","Enterocyte 1"
"C4.MAA000612.3_9_M.1.1","Tuft Cell"
"D6.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"E8.MAA000612.3_9_M.1.1","Amplifying Cell"
"F11.MAA000612.3_9_M.1.1","Amplifying Cell"
"C5.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"B2.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C6.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D7.MAA000612.3_9_M.1.1","Amplifying Cell"
"D8.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"E10.MAA000612.3_9_M.1.1","Enterocyte 1"
"F13.MAA000612.3_9_M.1.1","Enterocyte 1"
"E9.MAA000612.3_9_M.1.1","Amplifying Cell"
"F12.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G16.MAA000612.3_9_M.1.1","Enterocyte 1"
"H22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G17.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A1.MAA000612.3_9_M.1.1","Amplifying Cell"
"B3.MAA000612.3_9_M.1.1","Amplifying Cell"
"C7.MAA000612.3_9_M.1.1","Amplifying Cell"
"D9.MAA000612.3_9_M.1.1","Amplifying Cell"
"E11.MAA000612.3_9_M.1.1","Amplifying Cell"
"F14.MAA000612.3_9_M.1.1","Enterocyte 1"
"G18.MAA000612.3_9_M.1.1","Amplifying Cell"
"D10.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"E12.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"F15.MAA000612.3_9_M.1.1","Enterocyte 1"
"G19.MAA000612.3_9_M.1.1","Amplifying Cell"
"A2.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B4.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C8.MAA000612.3_9_M.1.1","Amplifying Cell"
"A3.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"A4.MAA000612.3_9_M.1.1","Goblet Cell 2"
"B6.MAA000612.3_9_M.1.1","Amplifying Cell"
"C10.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B5.MAA000612.3_9_M.1.1","Amplifying Cell"
"D12.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"E14.MAA000612.3_9_M.1.1","Enterocyte 1"
"F18.MAA000612.3_9_M.1.1","Goblet Cell 2"
"C9.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"D11.MAA000612.3_9_M.1.1","Amplifying Cell"
"E13.MAA000612.3_9_M.1.1","Enterocyte 1"
"F17.MAA000612.3_9_M.1.1","Enterocyte 1"
"G20.MAA000612.3_9_M.1.1","Enterocyte 1"
"G21.MAA000612.3_9_M.1.1","Amplifying Cell"
"B7.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"C11.MAA000612.3_9_M.1.1","Amplifying Cell"
"D13.MAA000612.3_9_M.1.1","Enterocyte 1"
"E15.MAA000612.3_9_M.1.1","Enterocyte 1"
"F20.MAA000612.3_9_M.1.1","Chromaffin Cell"
"H1.MAA000612.3_9_M.1.1","Amplifying Cell"
"D14.MAA000612.3_9_M.1.1","Enterocyte 1"
"E16.MAA000612.3_9_M.1.1","Enterocyte 1"
"F21.MAA000612.3_9_M.1.1","Amplifying Cell"
"H2.MAA000612.3_9_M.1.1","Amplifying Cell"
"A6.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B8.MAA000612.3_9_M.1.1","Goblet Cell 2"
"C12.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"A7.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A8.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B10.MAA000612.3_9_M.1.1","Goblet Cell 2"
"C14.MAA000612.3_9_M.1.1","Enterocyte 1"
"B9.MAA000612.3_9_M.1.1","Enterocyte 1"
"D16.MAA000612.3_9_M.1.1","Enterocyte 1"
"E18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G1.MAA000612.3_9_M.1.1","Amplifying Cell"
"C13.MAA000612.3_9_M.1.1","Enterocyte 1"
"D15.MAA000612.3_9_M.1.1","Enterocyte 1"
"E17.MAA000612.3_9_M.1.1","Enterocyte 1"
"F22.MAA000612.3_9_M.1.1","Amplifying Cell"
"H3.MAA000612.3_9_M.1.1","Amplifying Cell"
"H4.MAA000612.3_9_M.1.1","Amplifying Cell"
"A9.MAA000612.3_9_M.1.1","Amplifying Cell"
"B11.MAA000612.3_9_M.1.1","Enterocyte 1"
"C15.MAA000612.3_9_M.1.1","Enterocyte 1"
"D17.MAA000612.3_9_M.1.1","Enterocyte 1"
"E20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G2.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H5.MAA000612.3_9_M.1.1","Amplifying Cell"
"E21.MAA000612.3_9_M.1.1","Amplifying Cell"
"G3.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"H6.MAA000612.3_9_M.1.1","Enterocyte 1"
"A10.MAA000612.3_9_M.1.1","Goblet Cell 2"
"B12.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C16.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D18.MAA000612.3_9_M.1.1","Amplifying Cell"
"A12.MAA000612.3_9_M.1.1","Amplifying Cell"
"B15.MAA000612.3_9_M.1.1","Enterocyte 1"
"A11.MAA000612.3_9_M.1.1","Amplifying Cell"
"C18.MAA000612.3_9_M.1.1","Tuft Cell"
"D20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B14.MAA000612.3_9_M.1.1","Enterocyte 1"
"C17.MAA000612.3_9_M.1.1","Enterocyte 1"
"D19.MAA000612.3_9_M.1.1","Amplifying Cell"
"E22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G4.MAA000612.3_9_M.1.1","Amplifying Cell"
"H9.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"F1.MAA000612.3_9_M.1.1","Amplifying Cell"
"A13.MAA000612.3_9_M.1.1","Enterocyte 1"
"B16.MAA000612.3_9_M.1.1","Enterocyte 1"
"C19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D21.MAA000612.3_9_M.1.1","Amplifying Cell"
"F2.MAA000612.3_9_M.1.1","Amplifying Cell"
"G6.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H11.MAA000612.3_9_M.1.1","Goblet Cell 2"
"H10.MAA000612.3_9_M.1.1","Goblet Cell 2"
"I22.MAA000612.3_9_M.1.1","Enterocyte 1"
"K16.MAA000612.3_9_M.1.1","Enterocyte 1"
"M6.MAA000612.3_9_M.1.1","Amplifying Cell"
"N16.MAA000612.3_9_M.1.1","Enterocyte 1"
"J1.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"K19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M7.MAA000612.3_9_M.1.1","Tuft Cell"
"N18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P5.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"N20.MAA000612.3_9_M.1.1","Amplifying Cell"
"P6.MAA000612.3_9_M.1.1","Amplifying Cell"
"J2.MAA000612.3_9_M.1.1","Amplifying Cell"
"K20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M8.MAA000612.3_9_M.1.1","Amplifying Cell"
"K21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M11.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"N21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P7.MAA000612.3_9_M.1.1","Amplifying Cell"
"J3.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J4.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"L1.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M13.MAA000612.3_9_M.1.1","Enterocyte 1"
"O1.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P8.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M15.MAA000612.3_9_M.1.1","Enterocyte 1"
"O2.MAA000612.3_9_M.1.1","Amplifying Cell"
"P9.MAA000612.3_9_M.1.1","Amplifying Cell"
"J5.MAA000612.3_9_M.1.1","Amplifying Cell"
"L2.MAA000612.3_9_M.1.1","Amplifying Cell"
"L3.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M16.MAA000612.3_9_M.1.1","Enterocyte 1"
"O3.MAA000612.3_9_M.1.1","Amplifying Cell"
"P10.MAA000612.3_9_M.1.1","Goblet Cell 2"
"J6.MAA000612.3_9_M.1.1","Amplifying Cell"
"O4.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P12.MAA000612.3_9_M.1.1","Goblet Cell 2"
"J7.MAA000612.3_9_M.1.1","Enterocyte 1"
"L4.MAA000612.3_9_M.1.1","Amplifying Cell"
"M17.MAA000612.3_9_M.1.1","Enterocyte 1"
"J10.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J9.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"L5.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"M19.MAA000612.3_9_M.1.1","Amplifying Cell"
"O5.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P13.MAA000612.3_9_M.1.1","Enterocyte 1"
"L6.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"J13.MAA000612.3_9_M.1.1","Enterocyte 1"
"L7.MAA000612.3_9_M.1.1","Goblet Cell 2"
"M20.MAA000612.3_9_M.1.1","Goblet Cell 2"
"M21.MAA000612.3_9_M.1.1","Enterocyte 1"
"O7.MAA000612.3_9_M.1.1","Amplifying Cell"
"P15.MAA000612.3_9_M.1.1","Enterocyte 1"
"O6.MAA000612.3_9_M.1.1","Goblet Cell 2"
"P14.MAA000612.3_9_M.1.1","Enterocyte 1"
"I2.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J14.MAA000612.3_9_M.1.1","Enterocyte 1"
"L9.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M22.MAA000612.3_9_M.1.1","Amplifying Cell"
"O8.MAA000612.3_9_M.1.1","Amplifying Cell"
"P16.MAA000612.3_9_M.1.1","Enterocyte 1"
"I3.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J16.MAA000612.3_9_M.1.1","Enterocyte 1"
"L11.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"N1.MAA000612.3_9_M.1.1","Amplifying Cell"
"O10.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P17.MAA000612.3_9_M.1.1","Enterocyte 1"
"I4.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"J18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L13.MAA000612.3_9_M.1.1","Enterocyte 1"
"N2.MAA000612.3_9_M.1.1","Goblet Cell 2"
"O11.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P19.MAA000612.3_9_M.1.1","Enterocyte 1"
"I5.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L14.MAA000612.3_9_M.1.1","Enterocyte 1"
"N3.MAA000612.3_9_M.1.1","Amplifying Cell"
"O13.MAA000612.3_9_M.1.1","Enterocyte 1"
"P20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I6.MAA000612.3_9_M.1.1","Amplifying Cell"
"K1.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"O14.MAA000612.3_9_M.1.1","Enterocyte 1"
"P22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L17.MAA000612.3_9_M.1.1","Enterocyte 1"
"N4.MAA000612.3_9_M.1.1","Amplifying Cell"
"I7.MAA000612.3_9_M.1.1","Amplifying Cell"
"K2.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"N5.MAA000612.3_9_M.1.1","Amplifying Cell"
"O16.MAA000612.3_9_M.1.1","Enterocyte 1"
"I12.MAA000612.3_9_M.1.1","Amplifying Cell"
"K3.MAA000612.3_9_M.1.1","Amplifying Cell"
"L19.MAA000612.3_9_M.1.1","Enterocyte 1"
"N6.MAA000612.3_9_M.1.1","Amplifying Cell"
"O17.MAA000612.3_9_M.1.1","Enterocyte 1"
"O18.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I13.MAA000612.3_9_M.1.1","Enterocyte 1"
"K4.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"L22.MAA000612.3_9_M.1.1","Goblet Cell 2"
"N7.MAA000612.3_9_M.1.1","Amplifying Cell"
"I14.MAA000612.3_9_M.1.1","Enterocyte 1"
"K5.MAA000612.3_9_M.1.1","Amplifying Cell"
"M1.MAA000612.3_9_M.1.1","Amplifying Cell"
"N8.MAA000612.3_9_M.1.1","Amplifying Cell"
"O20.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I16.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K7.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"M2.MAA000612.3_9_M.1.1","Amplifying Cell"
"N9.MAA000612.3_9_M.1.1","Goblet Cell 2"
"O21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I17.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K8.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M3.MAA000612.3_9_M.1.1","Amplifying Cell"
"N11.MAA000612.3_9_M.1.1","Cycling Undiff. Cell"
"O22.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I19.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K11.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M4.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"N12.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P2.MAA000612.3_9_M.1.1","Amplifying Cell"
"I21.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K14.MAA000612.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M5.MAA000612.3_9_M.1.1","Amplifying Cell"
"N14.MAA000612.3_9_M.1.1","Enterocyte 1"
"P3.MAA000612.3_9_M.1.1","Amplifying Cell"
"A2.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B15.MAA000870.3_10_M.1.1","Goblet Cell 4"
"D5.MAA000870.3_10_M.1.1","Amplifying Cell"
"F3.MAA000870.3_10_M.1.1","Chromaffin Cell"
"G19.MAA000870.3_10_M.1.1","Goblet Cell 4"
"I6.MAA000870.3_10_M.1.1","Amplifying Cell"
"J19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"L3.MAA000870.3_10_M.1.1","Goblet Cell 1"
"M14.MAA000870.3_10_M.1.1","Enterocyte 2"
"A3.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"B16.MAA000870.3_10_M.1.1","Goblet Cell 4"
"D7.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"F5.MAA000870.3_10_M.1.1","Cycling Undiff. Cell"
"G21.MAA000870.3_10_M.1.1","Amplifying Cell"
"N19.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"I8.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"J20.MAA000870.3_10_M.1.1","Amplifying Cell"
"L4.MAA000870.3_10_M.1.1","Amplifying Cell"
"P3.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"M15.MAA000870.3_10_M.1.1","Enterocyte 2"
"A4.MAA000870.3_10_M.1.1","Goblet Cell 1"
"B18.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"D10.MAA000870.3_10_M.1.1","Goblet Cell 1"
"F9.MAA000870.3_10_M.1.1","Chromaffin Cell"
"G22.MAA000870.3_10_M.1.1","Enterocyte 2"
"N20.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"I10.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"J21.MAA000870.3_10_M.1.1","Tuft Cell"
"L5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P4.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"M17.MAA000870.3_10_M.1.1","Enterocyte 2"
"B19.MAA000870.3_10_M.1.1","Goblet Cell 1"
"N21.MAA000870.3_10_M.1.1","Amplifying Cell"
"D12.MAA000870.3_10_M.1.1","Amplifying Cell"
"F11.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
"H1.MAA000870.3_10_M.1.1","Goblet Cell 1"
"P5.MAA000870.3_10_M.1.1","Goblet Cell 1"
"I12.MAA000870.3_10_M.1.1","Goblet Cell 1"
"J22.MAA000870.3_10_M.1.1","Enterocyte 2"
"B20.MAA000870.3_10_M.1.1","Amplifying Cell"
"D15.MAA000870.3_10_M.1.1","Enterocyte 2"
"L7.MAA000870.3_10_M.1.1","Non-Cycling Undiff. Cell"
